"datetime","snow.water.eq.inches"
1922-04-16,68.7
1923-03-24,43
1924-03-31,20.2
1925-03-26,36.2
1926-03-30,31.6
1927-03-24,65.1
1929-03-31,27.9
1930-03-30,35.7
1931-03-30,25.6
1932-04-01,48.3
1933-04-01,37
1934-04-01,21.8
1935-04-01,42.5
1936-04-01,54.7
1937-02-28,46.6
1937-04-02,48.9
1938-02-27,55.6
1938-04-02,67.1
1939-03-28,29.6
1940-04-04,54
1941-04-08,57
1942-03-28,55.9
1943-03-27,50.5
1944-03-30,32.7
1945-03-24,36.4
1946-04-01,46.1
1947-03-31,34.4
1948-04-03,29.3
1949-04-02,43.5
1950-03-30,42
1951-03-28,31.7
1952-04-14,86.8
1953-04-02,38.5
1954-04-01,43.5
1955-03-31,35.4
1956-03-26,64.2
1957-04-01,43.5
1958-04-22,70.1
1959-03-31,26.2
1960-03-28,33.6
1961-03-30,30.8
1962-03-30,54.9
1963-04-04,20.5
1964-03-27,33.4
1965-03-28,62.4
1966-03-29,40.1
1967-03-25,59.3
1968-03-27,37.6
1969-03-27,81.1
1970-03-26,42.3
1972-03-31,36.7
1973-03-29,45.1
1974-03-21,48.5
1975-03-31,55.2
1976-03-25,22.4
1977-03-29,13.2
1978-03-24,38.2
1979-03-30,32.5
1980-03-27,55
1981-03-30,25.4
1982-04-08,69.2
1983-03-30,80.6
1984-03-28,51
1985-03-29,41
1986-03-25,58.7
1987-03-26,26.4
1988-03-29,21
1989-01-03,22.3
1989-01-25,25.6
1989-02-27,31.7
1989-03-27,48.8
1989-04-28,41.8
1990-03-29,27
1990-04-26,20.7
1991-01-03,3.7
1991-01-29,3.7
1991-03-06,16.4
1991-03-29,28.2
1991-04-29,26.1
1992-01-29,10.7
1992-02-27,21.2
1992-03-26,23.3
1992-04-28,14.4
1993-01-25,43.7
1993-03-01,53.7
1993-03-29,65.4
1993-04-28,65
1994-01-28,13
1994-02-24,23.4
1994-03-30,24.4
1994-04-27,19.5
1995-02-01,49.2
1995-02-23,51.8
1995-04-03,74.4
1995-04-26,80.7
1995-12-30,21.4
1996-01-03,6.6
1996-01-29,21.9
1996-03-01,36.4
1996-03-29,43.4
1996-04-30,47
1997-01-29,44.8
1997-02-26,44.5
1997-03-25,48.2
1997-04-29,38.9
1998-01-28,25.6
1998-02-28,53
1998-03-30,50.3
1999-01-28,33.6
1999-03-29,59.6
2000-01-28,19.2
2000-04-03,44.4
2001-01-31,11.3
2001-03-27,23.2
2002-02-27,33.5
2002-03-28,44.2
2003-01-30,27.6
2003-02-28,29.2
2003-03-28,34.5
2004-01-30,31
2005-01-27,31.1
2005-02-24,36.7
2005-03-31,48.1
2005-04-25,46.9
2006-02-03,29
2006-02-24,29.7
2006-03-30,47.4
2007-01-31,10.4
2007-03-02,29
2007-03-30,22.4
2008-02-26,37.7
2008-03-27,34.5
2008-04-30,30.7
2009-01-27,13.7
2009-02-27,25.3
2009-03-27,35.5
2009-04-02,30.6
2010-01-28,23.2
2010-02-25,26.3
2010-03-26,28.7
2010-04-26,39.1
2011-01-26,30.9
2011-02-22,38.1
2011-03-31,71.7
2011-04-26,69
2012-01-31,7
2012-03-02,12.8
2012-04-02,29.7
2012-04-30,27
2013-02-01,25.8
2013-02-28,26.9
2013-03-26,29.3
2014-02-24,9.5
2014-04-03,16
2014-04-30,15
