"datetime","snow.water.eq.inches"
2004-01-01,11.9
2004-02-01,14.8
2004-03-01,21.9
2004-04-01,16.3
2004-05-01,3.7
2004-06-01,0
2005-01-01,12.1
2005-02-01,18.6
2005-03-01,21.9
2005-04-01,27.2
2005-05-01,24.7
2005-06-01,6.7
2006-01-01,15
2006-02-01,22.9
2006-03-01,28.1
2006-04-01,36
2006-05-01,37.8
2006-06-01,12.3
2007-01-01,3.9
2007-02-01,6.1
2007-03-01,12.9
2007-04-01,9.2
2007-05-01,0.5
2007-06-01,0
2008-01-01,3.9
2008-02-01,16
2008-03-01,20.3
2008-04-01,17.8
2008-05-01,6.9
2008-06-01,0
2009-01-01,5.7
2009-02-01,8.2
2009-03-01,12.5
2009-04-01,16.9
2009-05-01,9.9
2009-06-01,0
2010-01-01,5.9
2010-02-01,12.8
2010-03-01,17.3
2010-04-01,19
2010-05-01,21.4
2010-06-01,12.3
2011-01-01,18.2
2011-02-01,18.6
2011-03-01,24.9
2011-04-01,37.7
2011-05-01,33.7
2011-06-01,26.1
2012-01-01,0.2
2012-02-01,4.7
2012-03-01,5.9
2012-04-01,10.2
2012-05-01,0.8
2012-06-01,0
2013-01-01,11.9
2013-02-01,12.7
2013-03-01,12.5
2013-04-01,9
2013-05-01,0
2013-06-01,0
2014-01-01,2.4
2014-02-01,4.2
2014-03-01,13.3
2014-04-01,13.1
2014-05-01,1.3
2014-06-01,0
