"datetime","snow.water.eq.inches"
1944-04-04,16
1945-03-03,10.6
1945-03-31,16.4
1946-02-03,13.6
1947-03-01,8.6
1947-03-30,7.8
1948-02-27,2.9
1948-03-31,9.6
1948-05-03,5.4
1949-04-04,22.9
1950-05-01,25.1
1950-07-01,26
1951-03-01,7.5
1951-07-01,9.8
1952-03-01,32.8
1952-07-01,42.2
1952-09-01,28.4
1953-03-01,16.5
1953-04-02,19.1
1953-05-01,17
1954-02-02,9.9
1954-02-25,15.4
1954-04-01,16.3
1954-05-01,0
1955-01-26,12
1955-03-02,14.5
1955-03-30,12.3
1956-01-30,18
1956-03-01,22.4
1956-03-29,19.9
1957-01-30,11.1
1957-02-28,13.3
1957-07-01,15.4
1958-01-30,13.3
1958-03-02,19.5
1958-03-27,23.8
1959-01-27,6
1959-02-26,12.6
1959-04-02,10.5
1960-02-03,7.4
1960-02-27,11.4
1960-03-27,9.6
1961-02-05,7.2
1961-03-04,7.9
1961-04-02,9.3
1962-01-03,4.4
1962-01-30,7.8
1962-03-06,26.3
1962-03-27,27.3
1963-01-02,0
1963-01-29,1.1
1963-02-25,0
1963-03-23,1.8
1963-04-28,9.8
1964-02-01,10.5
1964-02-29,10.8
1964-03-30,12.4
1964-12-29,4.4
1965-01-31,18.6
1965-02-27,16.8
1965-03-29,17
1966-01-02,11.1
1966-01-29,13.4
1966-02-27,16.3
1966-03-28,13.4
1967-01-28,16
1967-02-25,18.3
1967-03-24,22.1
1967-12-31,6.5
1968-02-03,12.6
1968-02-22,14.9
1968-03-24,16.4
1968-12-30,7.8
1969-02-02,21.7
1969-03-01,31.6
1969-03-23,31.8
1969-12-28,10
1970-01-01,3
1970-02-01,8.6
1970-02-28,12.1
1970-03-30,11.3
1971-01-03,14.5
1971-01-30,17.3
1971-02-27,18.9
1971-03-27,21.3
1972-01-01,6.9
1972-01-31,14.6
1972-02-27,17
1972-04-01,11.6
1973-01-28,13.4
1973-02-25,19.3
1973-03-28,21.2
1973-12-29,7.3
1974-01-26,12.3
1974-02-24,14.6
1974-03-27,18.4
1974-12-30,9.3
1975-01-01,3.8
1975-01-30,7.1
1975-02-25,18.4
1975-03-29,25.3
1976-01-29,4.9
1976-02-27,6.8
1976-03-30,9.4
1976-12-30,3.3
1977-01-01,0.1
1977-01-28,2.9
1977-02-26,5.3
1977-03-28,7.6
1978-01-29,15.4
1978-02-28,19.4
1978-03-27,19.7
1978-12-28,8
1979-01-30,8.5
1979-02-26,14.6
1979-03-28,17
1979-12-29,6.2
1980-01-30,8.5
1980-02-26,15.6
1980-03-29,18.6
1980-12-31,5.3
1981-02-01,6.4
1981-02-25,7
1981-03-26,8.9
1981-12-31,0
1982-01-26,14.5
1982-02-24,14.9
1982-03-29,18
1982-12-30,2.3
1983-01-26,16.2
1983-02-28,28.8
1983-03-28,35.8
1984-01-02,9
1984-01-28,9.9
1984-02-27,13.5
1984-03-29,10.8
1985-01-26,7.8
1985-03-01,13.7
1985-04-01,17.1
1985-12-30,6.9
1986-01-31,7.9
1986-03-05,18.8
1986-04-03,17.1
1986-12-27,6.1
1987-01-30,4.7
1987-03-31,10.4
1987-12-30,0
1988-01-02,3.3
1988-03-01,8
1988-04-04,0
1988-09-01,0
1989-02-27,12.8
1989-04-03,14.3
1990-01-29,3.8
1990-02-26,10.9
1990-03-29,9.7
1990-12-31,2.4
1991-01-29,2.2
1991-03-30,12.8
1991-12-28,2.9
1992-02-04,4.7
1992-02-26,7
1992-03-27,7.1
1993-01-26,19.6
1993-02-23,25.4
1993-04-02,21.4
1994-01-26,4.3
1994-02-22,10.3
1994-03-29,9.9
1995-01-26,15.8
1995-02-22,15.9
1995-03-28,24.1
1996-01-29,12
1996-02-27,15.9
1996-03-28,18.8
1997-02-27,14.8
1997-03-01,15
1997-03-26,11
1998-01-27,7.8
1998-02-24,20.1
1998-03-26,20.5
1999-01-25,10.8
1999-02-22,20.5
1999-03-29,20.6
2000-01-28,6.8
2000-02-22,10
2000-03-27,12.4
2001-01-30,4.8
2001-02-26,8.6
2001-03-26,7.6
2002-01-29,11.8
2002-02-26,12.1
2002-03-25,14.8
2003-01-31,10.5
2003-02-25,11.1
2003-03-26,9.3
2004-01-29,10.6
2004-02-23,12.5
2004-03-30,13.6
2005-01-25,17
2005-02-25,19.9
2005-03-30,24.6
2006-01-26,7.2
2006-02-28,7.5
2006-03-27,14.1
2007-01-29,3.2
2007-03-02,10.2
2007-03-29,7.1
2008-01-29,12.8
2008-02-25,19
2008-03-27,18.9
2009-01-28,6.8
2009-02-24,9.2
2009-03-27,12.1
2010-01-27,9.8
2010-03-01,13.6
2010-04-01,15.9
2011-02-01,12.7
2011-03-01,19.1
2011-03-31,29.4
2012-01-31,3
2012-02-28,4.3
2012-03-29,8.8
2013-01-28,7.3
2013-01-28,7.3
2013-02-28,6.4
2013-03-29,4.7
2014-01-30,2.2
2014-03-04,2.6
2014-03-27,1
