"datetime","snow.water.eq.inches"
2000-01-01,1.8
2000-02-01,4.2
2000-03-01,5.4
2000-04-01,0
2000-05-01,0
2000-06-01,0
2001-01-01,1.7
2001-02-01,2.4
2001-03-01,4.3
2001-04-01,0
2001-05-01,0
2001-06-01,0
2002-01-01,4.3
2002-02-01,4.5
2002-03-01,6.6
2002-04-01,0.3
2002-05-01,0.4
2002-06-01,0
2003-01-01,1.2
2003-02-01,0
2003-03-01,0
2003-04-01,0
2003-05-01,0
2003-06-01,0
2004-01-01,3.7
2004-02-01,6
2004-03-01,7.3
2004-04-01,0
2004-05-01,0
2004-06-01,0
2005-01-01,0.9
2005-02-01,1.9
2005-03-01,0.2
2005-04-01,0
2005-05-01,0
2005-06-01,0
2006-01-01,1.4
2006-02-01,4
2006-03-01,4.2
2006-04-01,5.1
2006-05-01,0
2006-06-01,0
2007-01-01,0.3
2007-02-01,1
2007-03-01,1.5
2007-04-01,0
2007-05-01,0
2007-06-01,0
2008-01-01,1.7
2008-02-01,6.9
2008-03-01,7.7
2008-04-01,3.9
2008-05-01,0
2008-06-01,0
2009-01-01,2.2
2009-02-01,2.8
2009-03-01,2.9
2009-04-01,0
2009-05-01,0
2009-06-01,0
2010-01-01,4
2010-02-01,5
2010-03-01,4.7
2010-04-01,0.3
2010-05-01,0
2010-06-01,0
2011-01-01,3.4
2011-02-01,3.5
2011-03-01,5
2011-04-01,4.9
2011-05-01,0
2011-06-01,0
2012-01-01,0.3
2012-02-01,1.3
2012-03-01,1.7
2012-04-01,0.3
2012-05-01,0
2012-06-01,0
2013-01-01,3.3
2013-02-01,3.9
2013-03-01,4.2
2013-04-01,0
2013-05-01,0
2013-06-01,0
2014-01-01,0.4
2014-02-01,0
2014-03-01,0
2014-04-01,0
2014-05-01,0
2014-06-01,0
