Site_Name,Station,Ntwk,Elev,Lat,Lon,installed,state,County,Hydrologic_Unit
Adin Mountains,20H08,SNOW,6190,41.23,-120.79,1930,CA,MODOC,Cottonwood Creek 180200021403
Adin Mtn,20H13S,SNTL,6190,41.24,-120.79,1984,CA,MODOC,Cottonwood Creek 180200021403
Blue Lake Ranch,20H14,SNOW,6830,41.15,-120.25,1997,CA,LASSEN,unknown
Blue Lakes,19L05S,SNTL,8057,38.61,-119.92,1980,CA,ALPINE,Deer Creek 180400120101
Burnside Lake,19L41S,SNTL,8129,38.72,-119.89,2003,CA,ALPINE,Hot Springs Creek 160502010107
Caples Lakes (Ca),20L11,SNOW,8000,38.72,-120.05,1984,CA,ALPINE,Caples Creek 180201290101
Carson Pass,19L45S,SNTL,8353,38.69,-119.99,2004,CA,EL DORADO,Caples Creek 180201290101
"Carson Pass, Upper",19L04,SNOW,8522,38.7,-119.99,1930,CA,ALPINE,Upper West Fork Carson River 160502010301
Castle Creek,20K28,SNOW,7400,39.35,-120.35,1946,CA,NEVADA,Rattlesnake Creek-South Yuba River 180201250602
Cedar Pass,20H06,SNOW,7050,41.58,-120.3,1930,CA,MODOC,Thoms Creek 180200020603
Cedar Pass,20H06S,SNTL,7030,41.58,-120.3,1979,CA,MODOC,Thoms Creek 180200020603
Crowder Flat,20H02S,SNTL,5170,41.89,-120.75,2000,CA,MODOC,Mosquito Creek-Willow Creek 180102040103
Css Lab,20K31S,SNTL,6855,39.33,-120.37,1981,CA,NEVADA,Rattlesnake Creek-South Yuba River 180201250602
Dismal Swamp,20H12S,SNTL,7360,41.99,-120.18,1980,CA,MODOC,Dismal Creek-Deep Creek 171200070304
Donner Summit,20K10,SNOW,6900,39.32,-120.33,1910,CA,NEVADA,Rattlesnake Creek-South Yuba River 180201250602
Ebbetts Pass,19L19S,SNTL,8765,38.55,-119.8,1979,CA,ALPINE,Silver Creek 160502010104
Echo Peak,20L06S,SNTL,7670,38.85,-120.08,1979,CA,EL DORADO,Upper Truckee River-Frontal Lake Tahoe 160501010303
Echo Summit,20L05,SNOW,7500,38.83,-120.03,1940,CA,EL DORADO,Upper Truckee River-Frontal Lake Tahoe 160501010303
Fallen Leaf,20L10S,SNTL,6236,38.93,-120.05,1979,CA,EL DORADO,Fallen Leaf Lake-Frontal Lake Tahoe 160501010401
Fordyce Lake,20K07,SNOW,6500,39.35,-120.5,1918,CA,NEVADA,Fordyce Creek 180201250601
Forestdale Creek,19L43S,SNTL,8017,38.68,-119.96,2003,CA,ALPINE,Upper West Fork Carson River 160502010301
Freel Bench,19L02,SNOW,7132,38.87,-119.96,1930,CA,EL DORADO,Trout Creek 160501010302
Furnace Flat,20K08,SNOW,6600,39.35,-120.5,1918,CA,NEVADA,Fordyce Creek 180201250601
Hagan's Meadow,19L03S,SNTL,7776,38.85,-119.94,1979,CA,EL DORADO,Trout Creek 160501010302
Heavenly Valley,19L24S,SNTL,8582,38.92,-119.92,1979,CA,EL DORADO,Trout Creek 160501010302
Horse Meadow,19L44S,SNTL,8557,38.84,-119.89,2003,CA,ALPINE,Middle West Fork Carson River 160502010302
Independence Camp,20K04S,SNTL,7003,39.45,-120.29,1979,CA,SIERRA,Independence Creek 160501020102
Independence Creek,20K03S,SNTL,6456,39.49,-120.28,1980,CA,SIERRA,Independence Creek 160501020102
Independence Lake,20K05S,SNTL,8352,39.43,-120.31,1979,CA,NEVADA,Sagehen Creek 160501020104
Lake Lucille,20L04,SNOW,8188,38.86,-120.11,1913,CA,EL DORADO,Fallen Leaf Lake-Frontal Lake Tahoe 160501010401
Leavitt Lake,19L38,SNOW,9630,38.28,-119.61,1961,CA,MONO,Leavitt Creek-West Walker River 160503020104
Leavitt Lake,19L38S,SNTL,9617,38.28,-119.61,1989,CA,MONO,Leavitt Creek-West Walker River 160503020104
Leavitt Meadows,19L08S,SNTL,7198,38.3,-119.55,1980,CA,MONO,Leavitt Creek-West Walker River 160503020104
Lobdell Lake,19L17S,SNTL,9233,38.44,-119.37,1979,CA,MONO,Deep Creek 160503020201
Monitor Pass,19L40S,SNTL,8310,38.67,-119.61,1990,CA,ALPINE,Leviathan Canyon 160502010201
Poison Flat,19L06S,SNTL,7736,38.51,-119.63,1980,CA,ALPINE,Bryant Creek-East Fork Carson River 160502010102
Richardsons #2,20L03,SNOW,6553,38.92,-120.04,1944,CA,EL DORADO,Fallen Leaf Lake-Frontal Lake Tahoe 160501010401
Rubicon #2,20L02S,SNTL,7689,39,-120.13,1980,CA,EL DORADO,General Creek-Frontal Lake Tahoe 160501010402
Sawmill Ridge,19L34,SNOW,8761,38.21,-119.35,1976,CA,MONO,Robinson Creek 160503010108
Sonora Pass,19L07,SNOW,8779,38.32,-119.61,1932,CA,MONO,Leavitt Creek-West Walker River 160503020104
Sonora Pass,19L07S,SNTL,8827,38.31,-119.6,1979,CA,MONO,Leavitt Creek-West Walker River 160503020104
Spratt Creek,19L39S,SNTL,6115,38.67,-119.82,1980,CA,ALPINE,Hot Springs Creek 160502010107
Squaw Valley #2,20K19,SNOW,7694,39.18,-120.25,1954,CA,PLACER,Squaw Creek-Truckee River 160501020202
Squaw Valley G.C.,20K30S,SNTL,8029,39.19,-120.26,1980,CA,PLACER,Squaw Creek-Truckee River 160501020202
State Line,20H01S,SNTL,5680,41.99,-120.72,2014,CA,MODOC,Lost 18010204
State Line Am (Ca),20H01,SNOW,5690,41.99,-120.72,1958,CA,MODOC,Weed Valley-North Fork Willow Creek 180102040201
Summit Meadow,19L42S,SNTL,9313,38.4,-119.54,2003,CA,ALPINE,Mill Creek 160503020203
Tahoe City Cross,20K27S,SNTL,6797,39.17,-120.15,1980,CA,PLACER,Burton Creek-Frontal Lake Tahoe 160501010101
Tioga Pass,19M01,SNOW,9900,37.92,-119.25,1926,CA,MONO,Lee Vining Creek-Frontal Mono Lake 180901010401
Truckee #2,20K13S,SNTL,6509,39.3,-120.18,1980,CA,PLACER,Martis Creek 160501020204
"Truckee, Upper",19L01,SNOW,6396,38.88,-119.98,1930,CA,EL DORADO,Trout Creek 160501010302
Virginia Lakes Ridge,19L13S,SNTL,9445,38.07,-119.23,1979,CA,MONO,Virginia Creek 160503010103
Ward Creek #2,20K17,SNOW,7100,39.14,-120.23,1913,CA,PLACER,Ward Creek-Frontal Lake Tahoe 160501010403
Ward Creek #3,20K25S,SNTL,6655,39.14,-120.22,1979,CA,PLACER,Ward Creek-Frontal Lake Tahoe 160501010403
Webber Lake,20K02,SNOW,7000,39.48,-120.43,1925,CA,SIERRA,Webber Lake-Little Truckee River 160501020101
Webber Peak,20K01,SNOW,8000,39.48,-120.43,1922,CA,SIERRA,Webber Lake-Little Truckee River 160501020101
Willow Flat,19L09,SNOW,8231,38.26,-119.46,1925,CA,MONO,Upper Little Walker River 160503020103
