# Leavitt Lake (574)
# California  SNOTEL Site - 9617 ft
# Monthly Data for Aug 1989 to Sep 2014
#
# (As of: Wed Sep 17 14:19:39 PDT 2014)
#  **Provisional data, subject to revision**
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date,Snow Depth (in),Snow Water Equivalent (in),Snow Water Equivalent Collection Date,Snow Depth (in),Snow Water Equivalent (in),Snow Water Equivalent Collection Date,Snow Depth (in),Snow Water Equivalent (in),Snow Water Equivalent Collection Date,Snow Depth (in),Snow Water Equivalent (in),Snow Water Equivalent Collection Date,Snow Depth (in),Snow Water Equivalent (in),Snow Water Equivalent Collection Date,Snow Depth (in),Snow Water Equivalent (in)
1990,Jan 01,,7.7,Feb 01,,18.2,Mar 01,,28.2,Apr 01,,33.2,May 01,,31.2,Jun 01,,22.2
1991,Jan 01,,2.7,Feb 01,,3.5,Mar 01,,6.8,Apr 01,,34.0,May 01,,37.1,Jun 01,,31.5
1992,Jan 01,,13.1,Feb 01,,16.1,Mar 01,,30.8,Apr 01,,35.0,May 01,,27.1,Jun 01,,0.0
1993,Jan 01,,28.3,Feb 01,,54.3,Mar 01,,73.3,Apr 01,,80.3,May 01,,66.6,Jun 01,,31.5
1994,Jan 01,,11.5,Feb 01,,15.6,Mar 01,,30.8,Apr 01,,36.7,May 01,,34.6,Jun 01,,20.9
1995,Jan 01,,25.5,Feb 01,,55.0,Mar 01,,59.0,Apr 01,,100.2,May 01,,109.3,Jun 01,,104.2
1996,Jan 01,,11.1,Feb 01,,32.3,Mar 01,,48.9,Apr 01,,58.9,May 01,,66.5,Jun 01,,54.9
1997,Jan 01,,54.0,Feb 01,,77.6,Mar 01,,78.7,Apr 01,,78.9,May 01,,71.7,Jun 01,,53.1
1998,Jan 01,,14.8,Feb 01,,38.1,Mar 01,,64.7,Apr 01,,75.9,May 01,,83.4,Jun 01,,89.1
1999,Jan 01,,23.0,Feb 01,,41.4,Mar 01,,62.4,Apr 01,,69.9,May 01,,77.5,Jun 01,,60.7
2000,Jan 01,,8.6,Feb 01,,30.0,Mar 01,,53.6,Apr 01,,57.6,May 01,,54.7,Jun 01,,49.2
2001,Jan 01,36,9.8,Feb 01,73,18.6,Mar 01,108,31.1,Apr 01,91,35.5,May 01,96,42.0,Jun 01,22,9.6
2002,Jan 01,106,32.7,Feb 01,107,37.7,Mar 01,115,43.8,Apr 01,129,53.3,May 01,130,56.2,Jun 01,72,36.2
2003,Jan 01,127,37.2,Feb 01,105,39.4,Mar 01,119,43.8,Apr 01,119,50.2,May 01,158,64.5,Jun 01,107,55.9
2004,Jan 01,114,30.3,Feb 01,115,39.1,Mar 01,161,55.5,Apr 01,127,56.8,May 01,109,53.9,Jun 01,64,31.2
2005,Jan 01,132,33.9,Feb 01,159,55.2,Mar 01,178,62.6,Apr 01,204,76.8,May 01,190,82.9,Jun 01,148,77.0
2006,Jan 01,128,37.9,Feb 01,150,56.4,Mar 01,176,67.3,Apr 01,229,87.8,May 01,216,103.5,Jun 01,157,89.1
2007,Jan 01,54,13.9,Feb 01,57,16.0,Mar 01,122,32.9,Apr 01,93,34.3,May 01,81,33.8,Jun 01,30,11.9
2008,Jan 01,38,9.2,Feb 01,130,35.9,Mar 01,143,46.7,Apr 01,129,48.9,May 01,107,44.7,Jun 01,71,32.9
2009,Jan 01,75,19.6,Feb 01,89,26.5,Mar 01,131,41.8,Apr 01,148,56.4,May 01,130,57.6,Jun 01,77,38.3
2010,Jan 01,57,15.1,Feb 01,109,31.8,Mar 01,133,41.4,Apr 01,148,50.2,May 01,156,60.0,Jun 01,139,61.7
2011,Jan 01,127,37.5,Feb 01,122,41.7,Mar 01,158,55.1,Apr 01,217,80.0,May 01,200,85.8,Jun 01,178,87.4
2012,Jan 01,17,3.2,Feb 01,46,12.7,Mar 01,61,15.3,Apr 01,93,27.6,May 01,67,28.2,Jun 01,0,0.0
2013,Jan 01,121,37.0,Feb 01,110,40.2,Mar 01,110,42.1,Apr 01,127,48.8,May 01,95,42.0,Jun 01,38,18.1
2014,Jan 01,23,5.3,Feb 01,44,9.0,Mar 01,87,21.0,Apr 01,102,27.4,May 01,65,25.0,Jun 01,16,2.1
