# Blue Lakes (356)
# California  SNOTEL Site - 8057 ft
# Monthly Data for Jul 1980 to Sep 2014
#
# (As of: Wed Sep 17 14:18:43 PDT 2014)
#  **Provisional data, subject to revision**
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date,Snow Depth (in),Snow Water Equivalent (in),Snow Water Equivalent Collection Date,Snow Depth (in),Snow Water Equivalent (in),Snow Water Equivalent Collection Date,Snow Depth (in),Snow Water Equivalent (in),Snow Water Equivalent Collection Date,Snow Depth (in),Snow Water Equivalent (in),Snow Water Equivalent Collection Date,Snow Depth (in),Snow Water Equivalent (in),Snow Water Equivalent Collection Date,Snow Depth (in),Snow Water Equivalent (in)
1981,Jan 01,,4.3,Feb 01,,13.3,Mar 01,,16.6,Apr 01,,21.7,May 01,,19.4,Jun 01,,2.7
1982,Jan 01,,16.1,Feb 01,,27.0,Mar 01,,34.0,Apr 01,,46.7,May 01,,51.0,Jun 01,,32.0
1983,Jan 01,,23.3,Feb 01,,33.9,Mar 01,,49.8,Apr 01,,63.6,May 01,,61.9,Jun 01,,53.6
1984,Jan 01,,23.3,Feb 01,,22.6,Mar 01,,25.9,Apr 01,,28.6,May 01,,31.3,Jun 01,,10.6
1985,Jan 01,,18.3,Feb 01,,19.6,Mar 01,,24.1,Apr 01,,32.0,May 01,,28.4,Jun 01,,10.3
1986,Jan 01,,10.3,Feb 01,,13.9,Mar 01,,36.5,Apr 01,,42.4,May 01,,39.2,Jun 01,,20.1
1987,Jan 01,,1.0,Feb 01,,6.0,Mar 01,,11.6,Apr 01,,15.1,May 01,,10.8,Jun 01,,0.0
1988,Jan 01,,10.0,Feb 01,,17.3,Mar 01,,13.8,Apr 01,,8.4,May 01,,0.0,Jun 01,,0.0
1989,Jan 01,,14.2,Feb 01,,17.3,Mar 01,,22.3,Apr 01,,31.5,May 01,,28.0,Jun 01,,10.0
1990,Jan 01,,5.8,Feb 01,,9.7,Mar 01,,15.6,Apr 01,,17.1,May 01,,13.8,Jun 01,,2.0
1991,Jan 01,,3.4,Feb 01,,3.6,Mar 01,,5.2,Apr 01,,20.9,May 01,,21.8,Jun 01,,15.3
1992,Jan 01,,8.6,Feb 01,,10.4,Mar 01,,17.7,Apr 01,,20.8,May 01,,13.2,Jun 01,,0.0
1993,Jan 01,,15.0,Feb 01,,29.1,Mar 01,,39.1,Apr 01,,43.4,May 01,,44.6,Jun 01,,29.8
1994,Jan 01,,4.4,Feb 01,,7.3,Mar 01,,15.7,Apr 01,,17.0,May 01,,16.6,Jun 01,,1.7
1995,Jan 01,,14.2,Feb 01,,34.4,Mar 01,,36.7,Apr 01,,56.6,May 01,,61.4,Jun 01,,60.4
1996,Jan 01,,4.7,Feb 01,,17.0,Mar 01,,26.3,Apr 01,,33.7,May 01,,34.2,Jun 01,,20.9
1997,Jan 01,,22.1,Feb 01,,36.7,Mar 01,,36.9,Apr 01,,33.8,May 01,,26.8,Jun 01,,1.5
1998,Jan 01,,7.4,Feb 01,,16.9,Mar 01,,34.6,Apr 01,,39.8,May 01,,41.1,Jun 01,,41.2
1999,Jan 01,32,9.5,Feb 01,63,18.4,Mar 01,92,31.3,Apr 01,88,35.9,May 01,83,38.4,Jun 01,41,25.5
2000,Jan 01,11,2.1,Feb 01,56,13.3,Mar 01,92,24.1,Apr 01,64,26.1,May 01,44,23.0,Jun 01,3,5.2
2001,Jan 01,20,5.2,Feb 01,39,9.9,Mar 01,61,16.6,Apr 01,41,17.9,May 01,39,19.9,Jun 01,0,0.0
2002,Jan 01,53,17.3,Feb 01,55,20.1,Mar 01,55,23.4,Apr 01,63,28.9,May 01,44,23.8,Jun 01,9,5.9
2003,Jan 01,65,15.9,Feb 01,45,17.1,Mar 01,56,21.4,Apr 01,47,21.7,May 01,69,30.1,Jun 01,33,19.2
2004,Jan 01,57,14.1,Feb 01,55,19.4,Mar 01,83,28.2,Apr 01,53,26.8,May 01,34,21.5,Jun 01,0,0.0
2005,Jan 01,71,17.3,Feb 01,82,29.3,Mar 01,97,36.2,Apr 01,101,46.1,May 01,83,45.7,Jun 01,48,33.4
2006,Jan 01,41,13.9,Feb 01,66,20.6,Mar 01,70,27.0,Apr 01,101,36.6,May 01,87,42.6,Jun 01,38,25.0
2007,Jan 01,23,5.1,Feb 01,25,6.7,Mar 01,66,15.2,Apr 01,36,13.8,May 01,22,9.5,Jun 01,0,0.0
2008,Jan 01,23,5.7,Feb 01,71,18.5,Mar 01,76,25.4,Apr 01,63,26.2,May 01,41,22.6,Jun 01,13,8.5
2009,Jan 01,31,7.8,Feb 01,34,11.8,Mar 01,56,17.4,Apr 01,59,25.4,May 01,41,22.3,Jun 01,0,0.0
2010,Jan 01,30,8.0,Feb 01,59,17.2,Mar 01,69,22.7,Apr 01,67,27.0,May 01,66,31.1,Jun 01,50,28.0
2011,Jan 01,68,20.3,Feb 01,59,21.5,Mar 01,88,30.2,Apr 01,109,45.6,May 01,86,45.6,Jun 01,66,39.6
2012,Jan 01,5,1.5,Feb 01,17,5.1,Mar 01,32,7.1,Apr 01,48,14.0,May 01,16,9.3,Jun 01,0,0.0
2013,Jan 01,51,16.3,Feb 01,44,17.3,Mar 01,44,19.0,Apr 01,44,18.7,May 01,15,8.8,Jun 01,0,0.0
2014,Jan 01,11,2.9,Feb 01,18,4.7,Mar 01,52,13.0,Apr 01,55,17.2,May 01,24,12.3,Jun 01,0,0.0
