# Heavenly Valley (518)
# California  SNOTEL Site - 8582 ft
# Monthly Data for Oct 1978 to Sep 2014
#
# (As of: Wed Sep 17 14:19:25 PDT 2014)
#  **Provisional data, subject to revision**
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date,Snow Depth (in),Snow Water Equivalent (in),Snow Water Equivalent Collection Date,Snow Depth (in),Snow Water Equivalent (in),Snow Water Equivalent Collection Date,Snow Depth (in),Snow Water Equivalent (in),Snow Water Equivalent Collection Date,Snow Depth (in),Snow Water Equivalent (in),Snow Water Equivalent Collection Date,Snow Depth (in),Snow Water Equivalent (in),Snow Water Equivalent Collection Date,Snow Depth (in),Snow Water Equivalent (in)
1979,Jan 01,,7.4,Feb 01,,12.4,Mar 01,,21.2,Apr 01,,27.8,May 01,,23.7,Jun 01,,0.0
1980,Jan 01,,8.6,Feb 01,,22.3,Mar 01,,32.4,Apr 01,,38.6,May 01,,35.2,Jun 01,,18.2
1981,Jan 01,,3.7,Feb 01,,9.4,Mar 01,,11.3,Apr 01,,17.0,May 01,,9.5,Jun 01,,0.0
1982,Jan 01,,16.8,Feb 01,,29.2,Mar 01,,35.2,Apr 01,,44.1,May 01,,38.1,Jun 01,,7.8
1983,Jan 01,,19.8,Feb 01,,28.0,Mar 01,,40.8,Apr 01,,50.9,May 01,,56.4,Jun 01,,31.6
1984,Jan 01,,23.6,Feb 01,,24.5,Mar 01,,31.0,Apr 01,,32.5,May 01,,27.5,Jun 01,,0.0
1985,Jan 01,,12.0,Feb 01,,12.5,Mar 01,,16.0,Apr 01,,25.5,May 01,,9.1,Jun 01,,0.0
1986,Jan 01,,10.7,Feb 01,,14.7,Mar 01,,39.8,Apr 01,,44.6,May 01,,32.3,Jun 01,,2.0
1987,Jan 01,,2.3,Feb 01,,7.2,Mar 01,,13.6,Apr 01,,18.8,May 01,,4.4,Jun 01,,0.0
1988,Jan 01,,9.3,Feb 01,,15.0,Mar 01,,15.0,Apr 01,,9.1,May 01,,0.0,Jun 01,,0.0
1989,Jan 01,,12.8,Feb 01,,14.5,Mar 01,,17.2,Apr 01,,27.2,May 01,,16.2,Jun 01,,0.0
1990,Jan 01,,3.8,Feb 01,,6.8,Mar 01,,11.6,Apr 01,,11.0,May 01,,0.4,Jun 01,,1.2
1991,Jan 01,,4.6,Feb 01,,5.1,Mar 01,,5.6,Apr 01,,17.3,May 01,,14.2,Jun 01,,0.0
