# Independence Creek (540)
# California  SNOTEL Site - 6456 ft
# Monthly Data for Jun 1980 to Sep 2014
#
# (As of: Wed Sep 17 14:19:32 PDT 2014)
#  **Provisional data, subject to revision**
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date,Snow Depth (in),Snow Water Equivalent (in),Snow Water Equivalent Collection Date,Snow Depth (in),Snow Water Equivalent (in),Snow Water Equivalent Collection Date,Snow Depth (in),Snow Water Equivalent (in),Snow Water Equivalent Collection Date,Snow Depth (in),Snow Water Equivalent (in),Snow Water Equivalent Collection Date,Snow Depth (in),Snow Water Equivalent (in),Snow Water Equivalent Collection Date,Snow Depth (in),Snow Water Equivalent (in)
1981,Jan 01,,3.1,Feb 01,,6.5,Mar 01,,7.4,Apr 01,,6.5,May 01,,0.0,Jun 01,,0.0
1982,Jan 01,,3.4,Feb 01,,9.1,Mar 01,,8.5,Apr 01,,19.0,May 01,,8.8,Jun 01,,0.0
1983,Jan 01,,10.9,Feb 01,,15.4,Mar 01,,21.4,Apr 01,,25.7,May 01,,19.4,Jun 01,,0.0
1984,Jan 01,,7.8,Feb 01,,10.6,Mar 01,,14.0,Apr 01,,13.0,May 01,,0.0,Jun 01,,0.0
1985,Jan 01,,7.8,Feb 01,,7.8,Mar 01,,12.6,Apr 01,,19.8,May 01,,0.0,Jun 01,,0.0
1986,Jan 01,,7.2,Feb 01,,9.7,Mar 01,,20.5,Apr 01,,13.6,May 01,,0.0,Jun 01,,0.0
1987,Jan 01,,0.0,Feb 01,,4.3,Mar 01,,7.4,Apr 01,,8.0,May 01,,0.0,Jun 01,,0.0
1988,Jan 01,,3.8,Feb 01,,7.5,Mar 01,,7.8,Apr 01,,2.1,May 01,,0.3,Jun 01,,0.0
1989,Jan 01,,8.5,Feb 01,,11.1,Mar 01,,13.6,Apr 01,,10.8,May 01,,0.0,Jun 01,,0.0
1990,Jan 01,,2.5,Feb 01,,5.8,Mar 01,,9.8,Apr 01,,8.8,May 01,,0.0,Jun 01,,0.1
1991,Jan 01,,2.1,Feb 01,,2.3,Mar 01,,3.6,Apr 01,,6.0,May 01,,0.0,Jun 01,,0.0
1992,Jan 01,,3.8,Feb 01,,3.9,Mar 01,,7.1,Apr 01,,4.5,May 01,,0.0,Jun 01,,0.0
1993,Jan 01,,11.1,Feb 01,,17.9,Mar 01,,24.4,Apr 01,,24.4,May 01,,8.0,Jun 01,,0.0
1994,Jan 01,,4.1,Feb 01,,4.7,Mar 01,,10.1,Apr 01,,6.2,May 01,,0.0,Jun 01,,0.0
1995,Jan 01,,7.8,Feb 01,,16.4,Mar 01,,16.7,Apr 01,,23.9,May 01,,13.4,Jun 01,,0.0
1996,Jan 01,,1.3,Feb 01,,7.9,Mar 01,,13.9,Apr 01,,16.4,May 01,,0.0,Jun 01,,0.0
1997,Jan 01,,7.8,Feb 01,,13.9,Mar 01,,15.3,Apr 01,,9.3,May 01,,0.0,Jun 01,,0.0
1998,Jan 01,,4.7,Feb 01,,10.1,Mar 01,,20.1,Apr 01,,19.9,May 01,,11.6,Jun 01,,0.0
1999,Jan 01,,4.7,Feb 01,,9.2,Mar 01,,18.9,Apr 01,,20.7,May 01,,12.5,Jun 01,,0.0
2000,Jan 01,8,0.8,Feb 01,39,8.7,Mar 01,53,13.6,Apr 01,31,11.9,May 01,0,0.0,Jun 01,0,0.0
2001,Jan 01,10,2.0,Feb 01,21,4.2,Mar 01,38,8.1,Apr 01,15,5.0,May 01,0,0.0,Jun 01,0,0.0
2002,Jan 01,27,8.8,Feb 01,37,10.9,Mar 01,30,11.0,Apr 01,26,12.0,May 01,0,0.0,Jun 01,0,0.0
2003,Jan 01,43,8.1,Feb 01,24,8.0,Mar 01,30,9.6,Apr 01,15,6.8,May 01,12,6.8,Jun 01,0,0.0
2004,Jan 01,33,6.6,Feb 01,33,10.0,Mar 01,50,15.7,Apr 01,23,10.8,May 01,0,0.0,Jun 01,0,0.0
2005,Jan 01,57,10.1,Feb 01,49,16.2,Mar 01,48,18.5,Apr 01,47,20.4,May 01,15,7.4,Jun 01,0,0.0
2006,Jan 01,5,1.0,Feb 01,22,5.9,Mar 01,24,7.1,Apr 01,44,14.0,May 01,7,3.5,Jun 01,0,0.0
2007,Jan 01,14,2.0,Feb 01,16,3.1,Mar 01,49,11.3,Apr 01,18,5.0,May 01,0,0.0,Jun 01,0,0.0
2008,Jan 01,17,3.4,Feb 01,59,12.9,Mar 01,57,17.7,Apr 01,36,15.1,May 01,0,0.1,Jun 01,0,0.0
2009,Jan 01,21,4.9,Feb 01,17,6.1,Mar 01,27,7.1,Apr 01,26,11.6,May 01,0,0.0,Jun 01,0,0.0
2010,Jan 01,24,5.3,Feb 01,39,10.0,Mar 01,44,14.2,Apr 01,43,14.8,May 01,23,10.0,Jun 01,0,0.0
2011,Jan 01,45,11.7,Feb 01,39,12.6,Mar 01,70,19.5,Apr 01,77,29.2,May 01,36,16.1,Jun 01,0,0.0
2012,Jan 01,2,0.5,Feb 01,9,3.0,Mar 01,25,5.9,Apr 01,29,8.4,May 01,0,0.0,Jun 01,0,0.0
2013,Jan 01,21,5.1,Feb 01,15,5.7,Mar 01,15,5.8,Apr 01,1,0.7,May 01,0,0.0,Jun 01,0,0.0
2014,Jan 01,2,0.5,Feb 01,3,0.5,Mar 01,3,1.1,Apr 01,5,1.0,May 01,0,0.0,Jun 01,0,0.0
