# Rubicon #2 (724)
# California  SNOTEL Site - 7689 ft
# Monthly Data for Aug 1980 to Sep 2014
#
# (As of: Wed Sep 17 14:19:53 PDT 2014)
#  **Provisional data, subject to revision**
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date,Snow Depth (in),Snow Water Equivalent (in),Snow Water Equivalent Collection Date,Snow Depth (in),Snow Water Equivalent (in),Snow Water Equivalent Collection Date,Snow Depth (in),Snow Water Equivalent (in),Snow Water Equivalent Collection Date,Snow Depth (in),Snow Water Equivalent (in),Snow Water Equivalent Collection Date,Snow Depth (in),Snow Water Equivalent (in),Snow Water Equivalent Collection Date,Snow Depth (in),Snow Water Equivalent (in)
1981,Jan 01,,3.8,Feb 01,,12.9,Mar 01,,14.3,Apr 01,,18.9,May 01,,10.5,Jun 01,,0.6
1982,Jan 01,,14.3,Feb 01,,25.3,Mar 01,,26.4,Apr 01,,41.6,May 01,,41.8,Jun 01,,10.3
1983,Jan 01,,21.3,Feb 01,,31.5,Mar 01,,46.1,Apr 01,,60.8,May 01,,64.9,Jun 01,,41.5
1984,Jan 01,,21.6,Feb 01,,23.1,Mar 01,,28.9,Apr 01,,30.3,May 01,,29.3,Jun 01,,0.0
1985,Jan 01,,12.1,Feb 01,,12.8,Mar 01,,19.1,Apr 01,,28.6,May 01,,16.6,Jun 01,,0.0
1986,Jan 01,,10.9,Feb 01,,15.0,Mar 01,,36.0,Apr 01,,36.5,May 01,,28.1,Jun 01,,0.0
1987,Jan 01,,1.1,Feb 01,,5.7,Mar 01,,11.4,Apr 01,,15.2,May 01,,1.0,Jun 01,,0.0
1988,Jan 01,,6.1,Feb 01,,13.1,Mar 01,,13.7,Apr 01,,11.6,May 01,,0.6,Jun 01,,0.1
1989,Jan 01,,12.5,Feb 01,,14.9,Mar 01,,20.6,Apr 01,,30.3,May 01,,17.7,Jun 01,,0.0
1990,Jan 01,,3.8,Feb 01,,7.3,Mar 01,,12.9,Apr 01,,13.6,May 01,,0.4,Jun 01,,1.0
1991,Jan 01,,2.7,Feb 01,,3.0,Mar 01,,3.8,Apr 01,,21.4,May 01,,19.6,Jun 01,,0.7
1992,Jan 01,,3.5,Feb 01,,4.1,Mar 01,,10.0,Apr 01,,12.9,May 01,,0.0,Jun 01,,0.0
1993,Jan 01,,13.3,Feb 01,,27.3,Mar 01,,40.1,Apr 01,,47.5,May 01,,46.1,Jun 01,,9.1
1994,Jan 01,,3.5,Feb 01,,5.3,Mar 01,,14.4,Apr 01,,14.6,May 01,,7.4,Jun 01,,0.0
1995,Jan 01,,12.1,Feb 01,,29.5,Mar 01,,30.6,Apr 01,,46.5,May 01,,53.2,Jun 01,,37.4
1996,Jan 01,,3.0,Feb 01,,16.1,Mar 01,,23.9,Apr 01,,33.3,May 01,,29.7,Jun 01,,1.5
1997,Jan 01,,18.6,Feb 01,,28.9,Mar 01,,30.3,Apr 01,,28.1,May 01,,19.2,Jun 01,,0.0
1998,Jan 01,,6.3,Feb 01,,16.9,Mar 01,,34.1,Apr 01,,39.2,May 01,,38.3,Jun 01,,30.5
1999,Jan 01,,10.6,Feb 01,,23.9,Mar 01,,41.1,Apr 01,,45.8,May 01,,46.9,Jun 01,,18.0
2000,Jan 01,,2.2,Feb 01,,12.2,Mar 01,,23.9,Apr 01,,24.9,May 01,,17.1,Jun 01,,0.0
2001,Jan 01,,5.0,Feb 01,,6.8,Mar 01,,14.1,Apr 01,,12.3,May 01,,11.3,Jun 01,,0.0
2002,Jan 01,,13.2,Feb 01,,16.2,Mar 01,,19.8,Apr 01,,23.2,May 01,,16.8,Jun 01,,0.0
2003,Jan 01,,12.3,Feb 01,,13.6,Mar 01,,16.9,Apr 01,,16.4,May 01,,25.0,Jun 01,,1.3
2004,Jan 01,54,13.2,Feb 01,54,18.1,Mar 01,87,27.0,Apr 01,51,23.7,May 01,29,13.6,Jun 01,0,0.0
2005,Jan 01,62,13.4,Feb 01,72,24.5,Mar 01,86,29.8,Apr 01,97,39.5,May 01,77,39.3,Jun 01,24,10.4
2006,Jan 01,24,7.3,Feb 01,50,18.3,Mar 01,56,23.1,Apr 01,92,31.9,May 01,72,36.0,Jun 01,14,2.3
2007,Jan 01,21,4.1,Feb 01,22,5.3,Mar 01,63,13.9,Apr 01,33,12.0,May 01,17,5.8,Jun 01,0,0.0
2008,Jan 01,19,4.1,Feb 01,67,17.2,Mar 01,68,24.9,Apr 01,57,26.3,May 01,37,19.1,Jun 01,0,0.0
2009,Jan 01,30,7.3,Feb 01,27,10.1,Mar 01,44,16.2,Apr 01,53,22.2,May 01,34,16.0,Jun 01,0,0.0
2010,Jan 01,33,8.5,Feb 01,54,15.9,Mar 01,64,20.9,Apr 01,74,25.3,May 01,69,29.4,Jun 01,46,21.7
2011,Jan 01,70,20.7,Feb 01,61,22.5,Mar 01,92,29.5,Apr 01,113,46.3,May 01,91,47.4,Jun 01,70,42.2
2012,Jan 01,3,0.6,Feb 01,16,5.4,Mar 01,35,7.8,Apr 01,56,15.3,May 01,24,10.5,Jun 01,0,0.0
2013,Jan 01,47,11.4,Feb 01,35,12.5,Mar 01,35,11.8,Apr 01,31,12.1,May 01,4,1.3,Jun 01,0,0.0
2014,Jan 01,9,1.8,Feb 01,16,3.0,Mar 01,34,7.8,Apr 01,45,10.2,May 01,8,2.4,Jun 01,0,0.0
