# Independence Camp (539)
# California  SNOTEL Site - 7003 ft
# Monthly Data for Oct 1978 to Sep 2014
#
# (As of: Wed Sep 17 14:19:30 PDT 2014)
#  **Provisional data, subject to revision**
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date,Snow Depth (in),Snow Water Equivalent (in),Snow Water Equivalent Collection Date,Snow Depth (in),Snow Water Equivalent (in),Snow Water Equivalent Collection Date,Snow Depth (in),Snow Water Equivalent (in),Snow Water Equivalent Collection Date,Snow Depth (in),Snow Water Equivalent (in),Snow Water Equivalent Collection Date,Snow Depth (in),Snow Water Equivalent (in),Snow Water Equivalent Collection Date,Snow Depth (in),Snow Water Equivalent (in)
1979,Jan 01,,3.5,Feb 01,,6.4,Mar 01,,13.1,Apr 01,,17.1,May 01,,9.0,Jun 01,,0.0
1980,Jan 01,,6.0,Feb 01,,10.8,Mar 01,,18.6,Apr 01,,24.5,May 01,,16.2,Jun 01,,0.0
1981,Jan 01,,1.8,Feb 01,,7.1,Mar 01,,7.0,Apr 01,,7.5,May 01,,0.0,Jun 01,,0.0
1982,Jan 01,,5.5,Feb 01,,15.0,Mar 01,,15.1,Apr 01,,26.9,May 01,,23.2,Jun 01,,0.0
1983,Jan 01,,15.1,Feb 01,,24.3,Mar 01,,37.6,Apr 01,,45.4,May 01,,47.1,Jun 01,,23.0
1984,Jan 01,,15.7,Feb 01,,15.7,Mar 01,,22.6,Apr 01,,18.8,May 01,,7.2,Jun 01,,0.0
1985,Jan 01,,8.8,Feb 01,,9.7,Mar 01,,12.4,Apr 01,,17.8,May 01,,0.0,Jun 01,,0.0
1986,Jan 01,,8.6,Feb 01,,12.5,Mar 01,,27.0,Apr 01,,25.3,May 01,,7.9,Jun 01,,0.0
1987,Jan 01,,0.8,Feb 01,,4.2,Mar 01,,9.1,Apr 01,,9.5,May 01,,0.0,Jun 01,,0.0
1988,Jan 01,,5.7,Feb 01,,10.5,Mar 01,,10.6,Apr 01,,0.7,May 01,,0.2,Jun 01,,0.0
1989,Jan 01,,10.0,Feb 01,,13.0,Mar 01,,18.8,Apr 01,,19.4,May 01,,0.0,Jun 01,,0.0
1990,Jan 01,,3.7,Feb 01,,6.8,Mar 01,,10.7,Apr 01,,8.5,May 01,,0.0,Jun 01,,0.1
1991,Jan 01,,2.3,Feb 01,,2.7,Mar 01,,3.1,Apr 01,,8.1,May 01,,2.2,Jun 01,,0.0
1992,Jan 01,,4.5,Feb 01,,5.7,Mar 01,,9.8,Apr 01,,7.8,May 01,,0.0,Jun 01,,0.0
1993,Jan 01,,11.5,Feb 01,,22.4,Mar 01,,34.6,Apr 01,,33.2,May 01,,21.8,Jun 01,,0.0
1994,Jan 01,,4.3,Feb 01,,5.6,Mar 01,,11.2,Apr 01,,6.7,May 01,,0.0,Jun 01,,0.0
1995,Jan 01,,9.1,Feb 01,,23.8,Mar 01,,23.8,Apr 01,,36.5,May 01,,32.4,Jun 01,,2.3
1996,Jan 01,,1.6,Feb 01,,10.5,Mar 01,,15.0,Apr 01,,19.0,May 01,,6.5,Jun 01,,0.0
1997,Jan 01,,11.1,Feb 01,,22.7,Mar 01,,23.5,Apr 01,,15.5,May 01,,0.0,Jun 01,,0.0
1998,Jan 01,,4.9,Feb 01,,12.6,Mar 01,,28.2,Apr 01,,29.3,May 01,,24.1,Jun 01,,5.2
1999,Jan 01,,5.7,Feb 01,,13.3,Mar 01,,23.4,Apr 01,,26.1,May 01,,23.1,Jun 01,,0.0
2000,Jan 01,,1.8,Feb 01,,10.2,Mar 01,,16.7,Apr 01,,11.0,May 01,,0.0,Jun 01,,0.0
2001,Jan 01,,2.1,Feb 01,,4.6,Mar 01,,9.0,Apr 01,,5.5,May 01,,0.0,Jun 01,,0.0
2002,Jan 01,33,10.2,Feb 01,48,12.5,Mar 01,43,12.3,Apr 01,50,18.9,May 01,8,1.8,Jun 01,0,0.0
2003,Jan 01,45,8.6,Feb 01,26,9.3,Mar 01,34,10.5,Apr 01,15,6.2,May 01,22,8.9,Jun 01,0,0.0
2004,Jan 01,33,6.8,Feb 01,37,10.9,Mar 01,63,17.3,Apr 01,28,11.3,May 01,0,0.0,Jun 01,0,0.0
2005,Jan 01,57,9.0,Feb 01,55,15.7,Mar 01,60,18.8,Apr 01,67,23.2,May 01,43,15.1,Jun 01,0,0.0
2006,Jan 01,7,1.2,Feb 01,27,6.6,Mar 01,28,8.7,Apr 01,55,16.1,May 01,36,14.0,Jun 01,0,0.0
2007,Jan 01,15,2.7,Feb 01,16,4.2,Mar 01,52,11.8,Apr 01,22,6.7,May 01,0,0.0,Jun 01,0,0.0
2008,Jan 01,17,3.3,Feb 01,63,14.1,Mar 01,64,19.1,Apr 01,43,17.4,May 01,12,3.5,Jun 01,0,0.0
2009,Jan 01,20,4.4,Feb 01,16,5.0,Mar 01,29,6.0,Apr 01,33,10.8,May 01,0,0.0,Jun 01,0,0.0
2010,Jan 01,25,5.9,Feb 01,43,9.8,Mar 01,47,13.9,Apr 01,51,16.4,May 01,44,15.8,Jun 01,0,0.0
2011,Jan 01,42,10.4,Feb 01,36,9.9,Mar 01,71,18.7,Apr 01,100,34.7,May 01,66,27.3,Jun 01,16,3.9
2012,Jan 01,1,0.1,Feb 01,8,2.3,Mar 01,30,4.4,Apr 01,39,11.2,May 01,1,0.4,Jun 01,0,0.0
2013,Jan 01,29,6.5,Feb 01,20,7.3,Mar 01,18,7.3,Apr 01,5,2.9,May 01,0,0.0,Jun 01,0,0.0
2014,Jan 01,2,0.5,Feb 01,5,0.9,Mar 01,6,1.9,Apr 01,7,1.1,May 01,0,0.0,Jun 01,0,0.0
