# Independence Lake (541)
# California  SNOTEL Site - 8352 ft
# Monthly Data for Oct 1978 to Sep 2014
#
# (As of: Wed Sep 17 14:19:35 PDT 2014)
#  **Provisional data, subject to revision**
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
1995,Jan 01,,17.7,Feb 01,,44.4,Mar 01,,47.7,Apr 01,,70.1,May 01,,78.4,Jun 01,,77.6
1996,Jan 01,,7.3,Feb 01,,21.9,Mar 01,,34.6,Apr 01,,43.0,May 01,,44.9,Jun 01,,28.6
1997,Jan 01,,32.6,Feb 01,,50.7,Mar 01,,51.6,Apr 01,,55.1,May 01,,51.6,Jun 01,,26.2
1998,Jan 01,,10.7,Feb 01,,25.6,Mar 01,,47.1,Apr 01,,53.4,May 01,,57.4,Jun 01,,59.3
1999,Jan 01,54,19.0,Feb 01,97,32.5,Mar 01,150,53.9,Apr 01,150,59.6,May 01,135,64.6,Jun 01,83,52.3
2000,Jan 01,20,5.6,Feb 01,87,22.3,Mar 01,131,39.4,Apr 01,106,42.1,May 01,84,42.0,Jun 01,40,27.3
2001,Jan 01,22,7.9,Feb 01,40,11.8,Mar 01,67,19.7,Apr 01,53,21.7,May 01,54,23.8,Jun 01,0,0.2
2002,Jan 01,72,25.4,Feb 01,82,31.9,Mar 01,85,35.6,Apr 01,102,44.8,May 01,84,45.2,Jun 01,49,32.4
2003,Jan 01,98,28.2,Feb 01,81,32.8,Mar 01,93,36.2,Apr 01,94,43.4,May 01,130,55.3,Jun 01,84,47.8
2004,Jan 01,77,21.4,Feb 01,80,29.4,Mar 01,114,42.1,Apr 01,93,43.7,May 01,78,42.9,Jun 01,41,24.7
2005,Jan 01,91,22.0,Feb 01,97,33.6,Mar 01,102,37.7,Apr 01,130,49.1,May 01,111,51.8,Jun 01,76,37.6
2006,Jan 01,69,21.6,Feb 01,95,33.5,Mar 01,111,40.7,Apr 01,159,55.1,May 01,152,65.4,Jun 01,105,53.4
2007,Jan 01,36,10.6,Feb 01,36,12.9,Mar 01,106,28.5,Apr 01,71,29.2,May 01,62,28.9,Jun 01,27,13.8
2008,Jan 01,23,7.3,Feb 01,89,25.2,Mar 01,93,34.0,Apr 01,86,36.6,May 01,74,34.6,Jun 01,37,20.6
2009,Jan 01,36,11.1,Feb 01,39,13.9,Mar 01,84,27.4,Apr 01,97,39.2,May 01,81,38.5,Jun 01,42,21.9
2010,Jan 01,37,11.3,Feb 01,71,22.4,Mar 01,84,28.5,Apr 01,104,37.2,May 01,115,44.8,Jun 01,96,37.0
2011,Jan 01,98,30.4,Feb 01,82,32.1,Mar 01,132,45.2,Apr 01,181,68.0,May 01,156,73.1,Jun 01,137,72.0
2012,Jan 01,7,4.2,Feb 01,28,10.9,Mar 01,51,13.8,Apr 01,96,28.9,May 01,70,27.6,Jun 01,31,14.7
2013,Jan 01,92,33.8,Feb 01,82,34.2,Mar 01,81,34.0,Apr 01,82,39.5,May 01,66,31.0,Jun 01,26,12.3
2014,Jan 01,10,3.1,Feb 01,15,4.5,Mar 01,52,15.0,Apr 01,78,21.4,May 01,50,18.0,Jun 01,10,2.5
