# Burnside Lake (1051)
# California  SNOTEL Site - 8129 ft
# Monthly Data for Sep 2003 to Sep 2014
#
# (As of: Wed Sep 17 14:18:45 PDT 2014)
#  **Provisional data, subject to revision**
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date,Snow Depth (in),Snow Water Equivalent (in),Snow Water Equivalent Collection Date,Snow Depth (in),Snow Water Equivalent (in),Snow Water Equivalent Collection Date,Snow Depth (in),Snow Water Equivalent (in),Snow Water Equivalent Collection Date,Snow Depth (in),Snow Water Equivalent (in),Snow Water Equivalent Collection Date,Snow Depth (in),Snow Water Equivalent (in),Snow Water Equivalent Collection Date,Snow Depth (in),Snow Water Equivalent (in)
2004,Jan 01,65,14.4,Feb 01,56,18.5,Mar 01,90,27.4,Apr 01,48,22.1,May 01,14,7.4,Jun 01,0,0.0
2005,Jan 01,69,13.7,Feb 01,66,21.1,Mar 01,83,25.2,Apr 01,86,31.4,May 01,59,27.3,Jun 01,0,0.0
2006,Jan 01,59,18.8,Feb 01,73,24.7,Mar 01,86,28.8,Apr 01,118,36.8,May 01,88,35.9,Jun 01,18,7.2
2007,Jan 01,21,5.6,Feb 01,25,6.4,Mar 01,71,15.7,Apr 01,29,11.8,May 01,1,0.2,Jun 01,0,0.0
2008,Jan 01,20,4.5,Feb 01,71,17.9,Mar 01,70,24.2,Apr 01,44,22.5,May 01,12,6.2,Jun 01,0,0.0
2009,Jan 01,29,7.4,Feb 01,32,10.1,Mar 01,56,16.0,Apr 01,56,21.0,May 01,33,12.8,Jun 01,0,0.0
2010,Jan 01,33,7.9,Feb 01,68,17.5,Mar 01,77,22.5,Apr 01,73,25.8,May 01,59,26.1,Jun 01,26,10.5
2011,Jan 01,80,21.6,Feb 01,67,22.0,Mar 01,102,31.2,Apr 01,115,45.3,May 01,84,40.2,Jun 01,49,22.8
2012,Jan 01,3,1.1,Feb 01,19,5.1,Mar 01,34,7.2,Apr 01,54,14.1,May 01,7,3.6,Jun 01,0,0.0
2013,Jan 01,61,16.5,Feb 01,51,18.1,Mar 01,49,18.8,Apr 01,35,14.9,May 01,0,0.0,Jun 01,0,0.0
2014,Jan 01,8,3.3,Feb 01,20,5.4,Mar 01,50,14.0,Apr 01,48,14.7,May 01,5,2.3,Jun 01,0,0.0
