# Fallen Leaf (473)
# California  SNOTEL Site - 6236 ft
# Monthly Data for Oct 1978 to Sep 2014
#
# (As of: Wed Sep 17 14:19:14 PDT 2014)
#  **Provisional data, subject to revision**
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date,Snow Depth (in),Snow Water Equivalent (in),Snow Water Equivalent Collection Date,Snow Depth (in),Snow Water Equivalent (in),Snow Water Equivalent Collection Date,Snow Depth (in),Snow Water Equivalent (in),Snow Water Equivalent Collection Date,Snow Depth (in),Snow Water Equivalent (in),Snow Water Equivalent Collection Date,Snow Depth (in),Snow Water Equivalent (in),Snow Water Equivalent Collection Date,Snow Depth (in),Snow Water Equivalent (in)
1979,Jan 01,,4.1,Feb 01,,2.0,Mar 01,,14.9,Apr 01,,17.9,May 01,,20.5,Jun 01,,22.5
1980,Jan 01,,3.5,Feb 01,,3.7,Mar 01,,4.7,Apr 01,,0.8,May 01,,0.0,Jun 01,,0.0
1981,Jan 01,,0.0,Feb 01,,3.2,Mar 01,,0.0,Apr 01,,0.5,May 01,,0.0,Jun 01,,0.0
1982,Jan 01,,1.3,Feb 01,,9.3,Mar 01,,7.6,Apr 01,,5.1,May 01,,0.0,Jun 01,,0.0
1983,Jan 01,,7.5,Feb 01,,10.1,Mar 01,,18.3,Apr 01,,17.1,May 01,,8.8,Jun 01,,0.0
1984,Jan 01,,2.2,Feb 01,,2.2,Mar 01,,3.1,Apr 01,,0.0,May 01,,0.0,Jun 01,,0.0
1985,Jan 01,,4.5,Feb 01,,5.2,Mar 01,,7.2,Apr 01,,11.2,May 01,,0.0,Jun 01,,0.0
1986,Jan 01,,4.8,Feb 01,,4.5,Mar 01,,6.0,Apr 01,,0.0,May 01,,0.0,Jun 01,,0.0
1987,Jan 01,,0.0,Feb 01,,2.2,Mar 01,,3.3,Apr 01,,0.0,May 01,,0.0,Jun 01,,0.0
1988,Jan 01,,1.9,Feb 01,,2.7,Mar 01,,1.7,Apr 01,,0.0,May 01,,0.0,Jun 01,,0.0
1989,Jan 01,,4.8,Feb 01,,5.3,Mar 01,,4.2,Apr 01,,0.0,May 01,,0.0,Jun 01,,0.0
1990,Jan 01,,0.2,Feb 01,,0.4,Mar 01,,2.9,Apr 01,,0.0,May 01,,0.0,Jun 01,,0.0
1991,Jan 01,,1.4,Feb 01,,1.4,Mar 01,,0.0,Apr 01,,4.8,May 01,,0.0,Jun 01,,0.0
1992,Jan 01,,1.1,Feb 01,,1.6,Mar 01,,0.6,Apr 01,,0.0,May 01,,0.0,Jun 01,,0.0
1993,Jan 01,,7.5,Feb 01,,15.8,Mar 01,,16.3,Apr 01,,4.7,May 01,,0.0,Jun 01,,0.0
1994,Jan 01,,1.2,Feb 01,,1.6,Mar 01,,5.8,Apr 01,,0.0,May 01,,0.0,Jun 01,,0.0
1995,Jan 01,,5.8,Feb 01,,9.1,Mar 01,,6.4,Apr 01,,4.1,May 01,,0.0,Jun 01,,0.0
1996,Jan 01,,0.4,Feb 01,,7.8,Mar 01,,7.4,Apr 01,,5.1,May 01,,0.0,Jun 01,,0.0
1997,Jan 01,,3.0,Feb 01,,6.8,Mar 01,,5.6,Apr 01,,0.0,May 01,,0.0,Jun 01,,0.0
1998,Jan 01,,2.7,Feb 01,,4.8,Mar 01,,14.8,Apr 01,,7.7,May 01,,0.0,Jun 01,,0.0
1999,Jan 01,,2.2,Feb 01,,5.1,Mar 01,,11.3,Apr 01,,3.3,May 01,,0.0,Jun 01,,0.0
2000,Jan 01,,0.0,Feb 01,,3.5,Mar 01,,5.1,Apr 01,,0.0,May 01,,0.0,Jun 01,,0.0
2001,Jan 01,2,0.7,Feb 01,11,2.0,Mar 01,21,5.1,Apr 01,0,0.0,May 01,0,0.0,Jun 01,0,0.0
2002,Jan 01,21,6.3,Feb 01,23,6.9,Mar 01,13,4.2,Apr 01,0,0.0,May 01,0,0.0,Jun 01,0,0.0
2003,Jan 01,31,7.6,Feb 01,13,5.0,Mar 01,13,4.8,Apr 01,0,0.0,May 01,0,0.0,Jun 01,0,0.0
2004,Jan 01,27,4.9,Feb 01,25,7.1,Mar 01,38,11.0,Apr 01,0,0.0,May 01,0,0.0,Jun 01,0,0.0
2005,Jan 01,37,6.1,Feb 01,32,9.2,Mar 01,33,10.5,Apr 01,19,5.4,May 01,0,0.0,Jun 01,0,0.0
2006,Jan 01,0,0.0,Feb 01,13,3.8,Mar 01,10,2.6,Apr 01,30,6.9,May 01,0,0.0,Jun 01,0,0.0
2007,Jan 01,4,1.1,Feb 01,5,1.6,Mar 01,29,4.2,Apr 01,0,0.0,May 01,0,0.0,Jun 01,0,0.0
2008,Jan 01,12,2.9,Feb 01,41,9.6,Mar 01,38,12.8,Apr 01,10,3.4,May 01,0,0.0,Jun 01,0,0.0
2009,Jan 01,17,4.6,Feb 01,10,4.8,Mar 01,11,6.0,Apr 01,0,0.0,May 01,0,0.0,Jun 01,0,0.0
2010,Jan 01,15,5.1,Feb 01,24,8.8,Mar 01,23,9.6,Apr 01,16,4.9,May 01,0,0.0,Jun 01,0,0.0
2011,Jan 01,24,7.2,Feb 01,21,8.0,Mar 01,41,14.2,Apr 01,34,14.2,May 01,0,0.0,Jun 01,0,0.0
2012,Jan 01,1,0.2,Feb 01,6,2.7,Mar 01,18,4.2,Apr 01,5,0.5,May 01,0,0.0,Jun 01,0,0.0
2013,Jan 01,22,5.1,Feb 01,12,6.2,Mar 01,9,5.9,Apr 01,0,0.0,May 01,0,0.0,Jun 01,0,0.0
2014,Jan 01,8,1.7,Feb 01,12,2.4,Mar 01,1,0.4,Apr 01,5,1.0,May 01,0,0.0,Jun 01,0,0.0
