# Ebbetts Pass (462)
# California  SNOTEL Site - 8765 ft
# Monthly Data for Oct 1978 to Sep 2014
#
# (As of: Wed Sep 17 14:19:05 PDT 2014)
#  **Provisional data, subject to revision**
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date,Snow Depth (in),Snow Water Equivalent (in),Snow Water Equivalent Collection Date,Snow Depth (in),Snow Water Equivalent (in),Snow Water Equivalent Collection Date,Snow Depth (in),Snow Water Equivalent (in),Snow Water Equivalent Collection Date,Snow Depth (in),Snow Water Equivalent (in),Snow Water Equivalent Collection Date,Snow Depth (in),Snow Water Equivalent (in),Snow Water Equivalent Collection Date,Snow Depth (in),Snow Water Equivalent (in)
1997,Jan 01,,30.7,Feb 01,,52.0,Mar 01,,48.6,Apr 01,,46.4,May 01,,33.4,Jun 01,,0.0
1998,Jan 01,,9.8,Feb 01,,21.4,Mar 01,,44.3,Apr 01,,51.0,May 01,,51.4,Jun 01,,50.6
1999,Jan 01,,12.9,Feb 01,,24.3,Mar 01,,38.5,Apr 01,,43.3,May 01,,49.3,Jun 01,,17.2
2000,Jan 01,,2.0,Feb 01,,15.7,Mar 01,,29.6,Apr 01,,29.4,May 01,,20.1,Jun 01,,0.0
2001,Jan 01,22,5.3,Feb 01,48,10.5,Mar 01,73,19.8,Apr 01,47,21.0,May 01,42,19.8,Jun 01,0,0.0
2002,Jan 01,66,20.7,Feb 01,67,24.0,Mar 01,63,27.5,Apr 01,74,35.0,May 01,55,26.3,Jun 01,0,0.0
2003,Jan 01,76,20.0,Feb 01,57,23.9,Mar 01,71,28.0,Apr 01,61,31.7,May 01,84,38.9,Jun 01,25,13.1
2004,Jan 01,73,19.7,Feb 01,65,23.6,Mar 01,101,36.4,Apr 01,62,33.0,May 01,33,19.2,Jun 01,0,0.0
2005,Jan 01,77,18.2,Feb 01,91,30.1,Mar 01,105,35.5,Apr 01,111,44.1,May 01,93,44.3,Jun 01,42,19.8
2006,Jan 01,69,21.9,Feb 01,86,32.4,Mar 01,103,39.5,Apr 01,138,54.3,May 01,122,63.1,Jun 01,46,28.0
2007,Jan 01,26,5.7,Feb 01,29,7.3,Mar 01,75,17.5,Apr 01,40,14.2,May 01,21,7.1,Jun 01,0,0.0
2008,Jan 01,29,7.0,Feb 01,66,18.9,Mar 01,80,28.1,Apr 01,63,28.1,May 01,36,18.9,Jun 01,0,0.0
2009,Jan 01,39,9.0,Feb 01,52,14.4,Mar 01,69,22.6,Apr 01,68,32.5,May 01,47,28.5,Jun 01,0,0.0
2010,Jan 01,41,11.1,Feb 01,75,22.8,Mar 01,89,30.1,Apr 01,84,34.1,May 01,77,37.3,Jun 01,48,25.8
2011,Jan 01,85,25.3,Feb 01,78,27.6,Mar 01,105,36.3,Apr 01,136,53.1,May 01,107,52.8,Jun 01,77,41.1
2012,Jan 01,2,1.0,Feb 01,28,7.7,Mar 01,37,9.8,Apr 01,64,17.1,May 01,21,8.2,Jun 01,0,0.0
2013,Jan 01,65,20.3,Feb 01,56,22.7,Mar 01,55,23.9,Apr 01,50,22.8,May 01,13,5.5,Jun 01,0,0.0
2014,Jan 01,14,3.7,Feb 01,32,7.0,Mar 01,62,13.3,Apr 01,64,17.2,May 01,20,8.5,Jun 01,0,0.0
