Date,None,D0,D1,D2,D3,D4
1/4/2000,1.7,98.3,0,0,0,0
1/11/2000,0,100,0,0,0,0
1/18/2000,0,100,0,0,0,0
1/25/2000,0,100,0,0,0,0
2/1/2000,21.13,78.87,0,0,0,0
2/8/2000,91.39,8.61,0,0,0,0
2/15/2000,90.98,9.02,0,0,0,0
2/22/2000,100,0,0,0,0,0
2/29/2000,100,0,0,0,0,0
3/7/2000,100,0,0,0,0,0
3/14/2000,100,0,0,0,0,0
3/21/2000,100,0,0,0,0,0
3/28/2000,100,0,0,0,0,0
4/4/2000,100,0,0,0,0,0
4/11/2000,100,0,0,0,0,0
4/18/2000,100,0,0,0,0,0
4/25/2000,100,0,0,0,0,0
5/2/2000,100,0,0,0,0,0
5/9/2000,100,0,0,0,0,0
5/16/2000,100,0,0,0,0,0
5/23/2000,100,0,0,0,0,0
5/30/2000,100,0,0,0,0,0
6/6/2000,100,0,0,0,0,0
6/13/2000,100,0,0,0,0,0
6/20/2000,100,0,0,0,0,0
6/27/2000,100,0,0,0,0,0
7/4/2000,100,0,0,0,0,0
7/11/2000,100,0,0,0,0,0
7/18/2000,100,0,0,0,0,0
7/25/2000,100,0,0,0,0,0
8/1/2000,100,0,0,0,0,0
8/8/2000,100,0,0,0,0,0
8/15/2000,100,0,0,0,0,0
8/22/2000,100,0,0,0,0,0
8/29/2000,100,0,0,0,0,0
9/5/2000,100,0,0,0,0,0
9/12/2000,100,0,0,0,0,0
9/19/2000,100,0,0,0,0,0
9/26/2000,100,0,0,0,0,0
10/3/2000,100,0,0,0,0,0
10/10/2000,100,0,0,0,0,0
10/17/2000,100,0,0,0,0,0
10/24/2000,100,0,0,0,0,0
10/31/2000,100,0,0,0,0,0
11/7/2000,100,0,0,0,0,0
11/14/2000,100,0,0,0,0,0
11/21/2000,100,0,0,0,0,0
11/28/2000,100,0,0,0,0,0
12/5/2000,100,0,0,0,0,0
12/12/2000,100,0,0,0,0,0
12/19/2000,100,0,0,0,0,0
12/26/2000,100,0,0,0,0,0
1/2/2001,12.2,87.8,0,0,0,0
1/9/2001,46.19,53.81,0,0,0,0
1/16/2001,56.83,43.17,0,0,0,0
1/23/2001,69.19,30.81,0,0,0,0
1/30/2001,69.31,30.69,0,0,0,0
2/6/2001,49.91,50.09,0,0,0,0
2/13/2001,47.45,52.55,0,0,0,0
2/20/2001,49.88,50.12,0,0,0,0
2/27/2001,49.88,50.12,0,0,0,0
3/6/2001,49.88,50.12,0,0,0,0
3/13/2001,49.88,50.12,0,0,0,0
3/20/2001,49.88,50.12,0,0,0,0
3/27/2001,49.88,50.12,0,0,0,0
4/3/2001,49.84,50.16,0,0,0,0
4/10/2001,66.97,33.03,0,0,0,0
4/17/2001,69.3,30.7,0,0,0,0
4/24/2001,69.31,30.69,0,0,0,0
5/1/2001,69.31,30.69,0,0,0,0
5/8/2001,69.31,30.69,0,0,0,0
5/15/2001,40.17,59.83,2.37,0,0,0
5/22/2001,40.17,59.83,2.37,0,0,0
5/29/2001,40.17,59.83,2.37,0,0,0
6/5/2001,36.25,63.75,2.36,0,0,0
6/12/2001,36.25,63.75,2.68,0,0,0
6/19/2001,27.01,72.99,0.72,0,0,0
6/26/2001,27.01,72.99,0.94,0,0,0
7/3/2001,37.49,62.51,0.94,0,0,0
7/10/2001,87.53,12.47,0,0,0,0
7/17/2001,94.4,5.6,0,0,0,0
7/24/2001,85.78,14.22,0,0,0,0
7/31/2001,85.78,14.22,0,0,0,0
8/7/2001,85.78,14.22,0,0,0,0
8/14/2001,85.78,14.22,0,0,0,0
8/21/2001,64.84,35.16,0.03,0,0,0
8/28/2001,51.61,48.39,13.87,0.56,0,0
9/4/2001,51.61,48.39,13.87,0.56,0,0
9/11/2001,0,100,34.18,5.55,0,0
9/18/2001,0,100,34.18,5.55,0,0
9/25/2001,0,100,34.18,5.55,0,0
10/2/2001,0,100,34.18,5.55,0,0
10/9/2001,0,100,34.18,5.55,0,0
10/16/2001,0,100,34.18,5.55,0,0
10/23/2001,0,100,34.18,5.55,0,0
10/30/2001,0,100,34.18,1.16,0,0
11/6/2001,0,100,34.18,1.16,0,0
11/13/2001,0,100,34.18,1.16,0,0
11/20/2001,0,100,34.18,1.48,0,0
11/27/2001,7.71,92.29,30.57,1.48,0,0
12/4/2001,24.08,75.92,28.63,5.63,0,0
12/11/2001,26.27,73.73,28.63,5.63,0,0
12/18/2001,30.31,69.69,28.63,5.63,0,0
12/25/2001,61.79,38.21,9.04,0,0,0
1/1/2002,80.03,19.97,0,0,0,0
1/8/2002,100,0,0,0,0,0
1/15/2002,100,0,0,0,0,0
1/22/2002,100,0,0,0,0,0
1/29/2002,100,0,0,0,0,0
2/5/2002,100,0,0,0,0,0
2/12/2002,89.21,10.79,0,0,0,0
2/19/2002,91.27,8.73,0,0,0,0
2/26/2002,92.74,7.26,0,0,0,0
3/5/2002,92.96,7.04,0,0,0,0
3/12/2002,91.98,8.02,0,0,0,0
3/19/2002,66.29,33.71,0.02,0,0,0
3/26/2002,62.83,37.17,0.06,0,0,0
4/2/2002,62.31,37.69,0,0,0,0
4/9/2002,56.56,43.44,11.6,0,0,0
4/16/2002,54.71,45.29,21,0,0,0
4/23/2002,55.07,44.93,18.99,0,0,0
4/30/2002,56.92,43.08,18.95,0,0,0
5/7/2002,57.65,42.35,15.93,0,0,0
5/14/2002,57.1,42.9,16.93,0,0,0
5/21/2002,58.52,41.48,14.35,0,0,0
5/28/2002,0,100,36.16,0,0,0
6/4/2002,0,100,35.86,0,0,0
6/11/2002,0,100,37.02,0,0,0
6/18/2002,0,100,50.89,2.7,0,0
6/25/2002,0,100,55.06,6.89,0,0
7/2/2002,0,100,55.92,9.07,0,0
7/9/2002,0,100,56.5,9.31,0,0
7/16/2002,0,100,54.62,9.3,0,0
7/23/2002,0,100,69.55,6.16,0,0
7/30/2002,0,100,69.27,14.09,0,0
8/6/2002,0,100,65.21,13.72,0,0
8/13/2002,0,100,65.15,13.86,0,0
8/20/2002,0,100,66.51,14.53,0,0
8/27/2002,0,100,66.09,14.4,0,0
9/3/2002,0,100,65.07,14.71,0,0
9/10/2002,0,100,65.65,16.14,0,0
9/17/2002,0,100,66.92,10.34,0,0
9/24/2002,0,100,68.99,8.36,0,0
10/1/2002,0,100,54.34,4.98,0,0
10/8/2002,0,100,54.59,13,0,0
10/15/2002,0,100,54.26,13.63,0,0
10/22/2002,0,100,52.07,12.1,0,0
10/29/2002,0,100,46.74,13.7,0,0
11/5/2002,0,100,50.8,21.77,0,0
11/12/2002,0,100,0,0,0,0
11/19/2002,0,100,0,0,0,0
11/26/2002,0,100,0,0,0,0
12/3/2002,0,100,0,0,0,0
12/10/2002,0,100,31.38,0,0,0
12/17/2002,15.35,84.65,11.66,0,0,0
12/24/2002,70.6,29.4,6.21,0,0,0
12/31/2002,69.05,30.95,5.94,0,0,0
1/7/2003,71.23,28.77,6.83,0,0,0
1/14/2003,70.24,29.76,4.04,0,0,0
1/21/2003,73.58,26.42,1.39,0,0,0
1/28/2003,61.9,38.1,2.1,0,0,0
2/4/2003,53.66,46.34,11.89,0,0,0
2/11/2003,57.14,42.86,20.59,3.66,0,0
2/18/2003,63.05,36.95,21.75,0.07,0,0
2/25/2003,62.33,37.67,20.14,0,0,0
3/4/2003,64.13,35.87,23.6,0,0,0
3/11/2003,27.87,72.13,23.61,0.41,0,0
3/18/2003,36.41,63.59,21.99,0,0,0
3/25/2003,37.4,62.6,22.59,0,0,0
4/1/2003,0,100,23.42,0,0,0
4/8/2003,0,100,22.72,0,0,0
4/15/2003,63.14,36.86,6.2,0,0,0
4/22/2003,75.72,24.28,9.19,0,0,0
4/29/2003,74.82,25.18,7.99,0,0,0
5/6/2003,72.46,27.54,10.07,0,0,0
5/13/2003,88.65,11.35,0,0,0,0
5/20/2003,89.46,10.54,0,0,0,0
5/27/2003,92.31,7.69,0,0,0,0
6/3/2003,84.72,15.28,0,0,0,0
6/10/2003,86.36,13.64,0,0,0,0
6/17/2003,89.13,10.87,0,0,0,0
6/24/2003,88.36,11.64,0,0,0,0
7/1/2003,88.29,11.71,0,0,0,0
7/8/2003,75.32,24.68,0.54,0,0,0
7/15/2003,74.11,25.89,0.56,0,0,0
7/22/2003,77.52,22.48,3.04,0,0,0
7/29/2003,79.32,20.68,2.41,0,0,0
8/5/2003,78.76,21.24,3,0,0,0
8/12/2003,79.03,20.97,2.57,0,0,0
8/19/2003,82.15,17.85,0.31,0,0,0
8/26/2003,80.2,19.8,0.18,0,0,0
9/2/2003,79.73,20.27,11.2,0,0,0
9/9/2003,81.53,18.47,5.17,0,0,0
9/16/2003,76.28,23.72,0.92,0,0,0
