Date,None,D0,D1,D2,D3,D4
1/4/2000,99.03,0.97,0,0,0,0
1/11/2000,0,100,0,0,0,0
1/18/2000,0.06,99.94,0,0,0,0
1/25/2000,100,0,0,0,0,0
2/1/2000,100,0,0,0,0,0
2/8/2000,100,0,0,0,0,0
2/15/2000,100,0,0,0,0,0
2/22/2000,100,0,0,0,0,0
2/29/2000,100,0,0,0,0,0
3/7/2000,100,0,0,0,0,0
3/14/2000,100,0,0,0,0,0
3/21/2000,100,0,0,0,0,0
3/28/2000,100,0,0,0,0,0
4/4/2000,100,0,0,0,0,0
4/11/2000,100,0,0,0,0,0
4/18/2000,100,0,0,0,0,0
4/25/2000,100,0,0,0,0,0
5/2/2000,100,0,0,0,0,0
5/9/2000,100,0,0,0,0,0
5/16/2000,100,0,0,0,0,0
5/23/2000,100,0,0,0,0,0
5/30/2000,100,0,0,0,0,0
6/6/2000,100,0,0,0,0,0
6/13/2000,100,0,0,0,0,0
6/20/2000,100,0,0,0,0,0
6/27/2000,100,0,0,0,0,0
7/4/2000,100,0,0,0,0,0
7/11/2000,100,0,0,0,0,0
7/18/2000,100,0,0,0,0,0
7/25/2000,100,0,0,0,0,0
8/1/2000,100,0,0,0,0,0
8/8/2000,100,0,0,0,0,0
8/15/2000,100,0,0,0,0,0
8/22/2000,100,0,0,0,0,0
8/29/2000,100,0,0,0,0,0
9/5/2000,100,0,0,0,0,0
9/12/2000,100,0,0,0,0,0
9/19/2000,100,0,0,0,0,0
9/26/2000,100,0,0,0,0,0
10/3/2000,100,0,0,0,0,0
10/10/2000,100,0,0,0,0,0
10/17/2000,100,0,0,0,0,0
10/24/2000,100,0,0,0,0,0
10/31/2000,100,0,0,0,0,0
11/7/2000,100,0,0,0,0,0
11/14/2000,100,0,0,0,0,0
11/21/2000,100,0,0,0,0,0
11/28/2000,100,0,0,0,0,0
12/5/2000,100,0,0,0,0,0
12/12/2000,100,0,0,0,0,0
12/19/2000,100,0,0,0,0,0
12/26/2000,100,0,0,0,0,0
1/2/2001,100,0,0,0,0,0
1/9/2001,1.61,98.39,0,0,0,0
1/16/2001,68.08,31.92,0,0,0,0
1/23/2001,13.49,86.51,0,0,0,0
1/30/2001,14.39,85.61,0,0,0,0
2/6/2001,0,100,0,0,0,0
2/13/2001,0,100,0,0,0,0
2/20/2001,0,100,0,0,0,0
2/27/2001,0,100,0,0,0,0
3/6/2001,0,100,0,0,0,0
3/13/2001,0,100,0,0,0,0
3/20/2001,0,100,0,0,0,0
3/27/2001,0,100,0,0,0,0
4/3/2001,0,100,47.65,0,0,0
4/10/2001,0,100,45.56,0,0,0
4/17/2001,0,100,72.85,0,0,0
4/24/2001,0,100,72.85,0,0,0
5/1/2001,0,100,72.85,0,0,0
5/8/2001,0,100,72.85,0,0,0
5/15/2001,0,100,74.09,0,0,0
5/22/2001,0,100,74.09,0,0,0
5/29/2001,0,100,74.09,0,0,0
6/5/2001,0,100,75.37,33.25,0,0
6/12/2001,0,100,81.61,43.52,0,0
6/19/2001,0,100,100,51.77,0,0
6/26/2001,0,100,100,74.21,0,0
7/3/2001,0,100,100,74.2,2.63,0
7/10/2001,0,100,100,67.22,38.26,0
7/17/2001,0,100,100,100,38.26,0
7/24/2001,0,100,100,100,38.26,0
7/31/2001,0,100,100,100,38.26,0
8/7/2001,0,100,100,100,38.26,0
8/14/2001,0,100,100,100,51.11,0
8/21/2001,0,100,100,100,98.79,0
8/28/2001,0,100,100,100,100,0
9/4/2001,0,100,100,100,100,0
9/11/2001,0,100,100,100,100,0
9/18/2001,0,100,100,100,100,0
9/25/2001,0,100,100,100,100,0
10/2/2001,0,100,100,100,100,0
10/9/2001,0,100,100,100,100,0
10/16/2001,0,100,100,100,100,0
10/23/2001,0,100,100,100,100,0
10/30/2001,0,100,100,100,100,0
11/6/2001,0,100,100,100,100,0
11/13/2001,0,100,100,100,100,0
11/20/2001,0,100,100,100,100,0
11/27/2001,0,100,100,100,100,0
12/4/2001,0,100,100,100,51.04,0
12/11/2001,0,100,100,100,43.06,0
12/18/2001,0,100,100,100,19.42,0
12/25/2001,0,100,100,53.11,0,0
1/1/2002,0,100,53.54,15.05,0,0
1/8/2002,100,0,0,0,0,0
1/15/2002,99.37,0.63,0,0,0,0
1/22/2002,100,0,0,0,0,0
1/29/2002,100,0,0,0,0,0
2/5/2002,100,0,0,0,0,0
2/12/2002,100,0,0,0,0,0
2/19/2002,100,0,0,0,0,0
2/26/2002,100,0,0,0,0,0
3/5/2002,100,0,0,0,0,0
3/12/2002,100,0,0,0,0,0
3/19/2002,100,0,0,0,0,0
3/26/2002,100,0,0,0,0,0
4/2/2002,100,0,0,0,0,0
4/9/2002,100,0,0,0,0,0
4/16/2002,100,0,0,0,0,0
4/23/2002,100,0,0,0,0,0
4/30/2002,100,0,0,0,0,0
5/7/2002,100,0,0,0,0,0
5/14/2002,100,0,0,0,0,0
5/21/2002,100,0,0,0,0,0
5/28/2002,93.74,6.26,0,0,0,0
6/4/2002,77.5,22.5,0,0,0,0
6/11/2002,75.95,24.05,0,0,0,0
6/18/2002,79.86,20.14,0,0,0,0
6/25/2002,0,100,8.72,0,0,0
7/2/2002,0,100,10.77,0,0,0
7/9/2002,0,100,9.53,0,0,0
7/16/2002,0,100,1.57,0,0,0
7/23/2002,0,100,8.55,0,0,0
7/30/2002,0,100,8.25,0,0,0
8/6/2002,0,100,12.86,0,0,0
8/13/2002,0,100,14.28,0,0,0
8/20/2002,0,100,12.63,0,0,0
8/27/2002,0,100,11.44,0,0,0
9/3/2002,0,100,12.07,0,0,0
9/10/2002,0,100,4.54,0,0,0
9/17/2002,0,100,13.22,0,0,0
9/24/2002,0,100,11.54,0,0,0
10/1/2002,0,100,0,0,0,0
10/8/2002,0,100,97.48,0,0,0
10/15/2002,0,100,97.74,0,0,0
10/22/2002,0,100,99.97,0,0,0
10/29/2002,0,100,89.74,0,0,0
11/5/2002,0,100,100,0,0,0
11/12/2002,0,100,0,0,0,0
11/19/2002,0,100,0,0,0,0
11/26/2002,0,100,0,0,0,0
12/3/2002,0,100,0,0,0,0
12/10/2002,0,100,100,0,0,0
12/17/2002,100,0,0,0,0,0
12/24/2002,95.94,4.06,0,0,0,0
12/31/2002,100,0,0,0,0,0
1/7/2003,99.34,0.66,0,0,0,0
1/14/2003,100,0,0,0,0,0
1/21/2003,100,0,0,0,0,0
1/28/2003,100,0,0,0,0,0
2/4/2003,96.14,3.86,0,0,0,0
2/11/2003,70.72,29.28,5.01,0,0,0
2/18/2003,70.94,29.06,3.28,0,0,0
2/25/2003,68.94,31.06,5.78,0,0,0
3/4/2003,66.91,33.09,9.03,0,0,0
3/11/2003,55.73,44.27,6.88,0,0,0
3/18/2003,57.81,42.19,5.58,0,0,0
3/25/2003,59.34,40.66,5.72,0,0,0
4/1/2003,63.18,36.82,4.66,0,0,0
4/8/2003,60.58,39.42,7.54,0,0,0
4/15/2003,64.51,35.49,3.28,0,0,0
4/22/2003,58.07,41.93,16.29,0,0,0
4/29/2003,53.48,46.52,6.34,0,0,0
5/6/2003,56.16,43.84,6.76,0,0,0
5/13/2003,65.46,34.54,0,0,0,0
5/20/2003,63.83,36.17,0,0,0,0
5/27/2003,69.73,30.27,0,0,0,0
6/3/2003,63.3,36.7,0.97,0,0,0
6/10/2003,63.25,36.75,0,0,0,0
6/17/2003,63.98,36.02,0,0,0,0
6/24/2003,74.38,25.62,0,0,0,0
7/1/2003,60.42,39.58,0,0,0,0
7/8/2003,63.69,36.31,0,0,0,0
7/15/2003,60.7,39.3,0,0,0,0
7/22/2003,69.58,30.42,0,0,0,0
7/29/2003,67.21,32.79,0,0,0,0
